ID,이름,속성,속성id,평점 증가,수입 증가 (계산대로 축적) 1분당,해제 최소 평점,구매 수단,가격,TYPE,TYPE ID,TYPE 개수,(첨삭)
FRAME01,추억의 액자,내추럴,SET01,5,3,0,코인,6000,,,,
FRAME02,추상화 액자,모던,SET02,10,5,110,코인,17000,,,,
FRAME03,스낵 포스터,빈티지,SET03,20,8,230,코인,45000,,,,
FRAME04,동양의 메뉴 족자,전통적,SET04,40,12,520,코인,100000,,,,
FRAME05,여름 방학,내추럴,SET01,70,18,750,코인,200000,,,,
FRAME06,단정한 족자,전통적,SET04,120,25,1100,코인,300000,,,,
FRAME07,창밖의 노래,내추럴,SET01,170,32,1900,코인,400000,,,,
FRAME08,포근한 소품,빈티지,SET03,230,40,2700,코인,550000,,,,
FRAME09,여름의 흔적,모던,SET02,300,50,3600,코인,700000,,,,
FRAME10,숲 속 창가,모던,SET02,370,60,4700,코인,850000,,,,
FRAME11,파도 타는 날,트로피컬,SET05,450,72,5900,코인,1010000,,,,
FRAME12,전통 한켠,빈티지,SET03,540,85,7200,코인,1180000,,,,
FRAME13,유령의 초상화,럭셔리,SET06,640,100,8600,코인,1360000,,,,
FRAME14,장난감 나라 메뉴판,코지,SET07,750,120,10100,코인,1550000,,,,
